SUBDIVISION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,REGION
Jammu & Kashmir,102.76495726495722,114.76581196581203,131.49487179487178,94.14102564102559,67.15128205128207,65.02905982905985,179.9586206896551,180.81282051282054,88.51880341880342,33.61367521367521,23.814655172413794,55.22500000000001,1138.8422413793103,217.53076923076924,292.7811965811967,515.3913793103451,112.87844827586211,MODERATE
Jharkhand,17.471794871794867,23.83846153846153,18.29658119658119,19.0965811965812,48.591452991452975,193.30427350427357,337.99401709401695,325.44358974358977,227.13675213675208,79.92136752136753,11.739316239316237,4.85641025641026,1307.6897435897433,41.3119658119658,85.97350427350432,1083.8794871794876,96.51965811965815,MODERATE
Kerala,12.171794871794868,15.37435897435897,37.12735042735042,109.4196581196581,229.98376068376066,653.1649572649571,695.9794871794871,420.6923076923078,245.86153846153834,291.9418803418804,162.55897435897444,39.98034188034187,2914.2470085470077,27.541025641025662,376.51538461538445,2015.688034188034,494.4846153846154,HEAVY
Konkan & Goa,1.2410256410256413,0.5384615384615385,1.3683760683760682,4.195726495726498,33.36239316239316,690.8752136752138,1075.3940170940173,684.3179487179486,353.60512820512827,113.69829059829055,24.272649572649573,4.653846153846154,2987.531623931625,1.7829059829059821,38.93162393162391,2804.186324786325,142.6299145299145,HEAVY
Lakshadweep,27.7219298245614,15.672173913043476,15.006140350877198,44.40964912280704,162.97543859649127,329.2745614035086,280.7159292035398,206.90964912280708,162.86283185840705,165.50884955752215,123.43909090909095,61.82142857142857,1587.294285714286,42.57876106194689,222.78125000000006,982.5419642857142,353.70818181818186,MODERATE
Madhya Maharashtra,3.0025641025641034,1.448717948717948,3.599145299145301,9.00940170940171,22.770940170940168,147.3837606837607,249.85641025641027,184.8752136752137,157.62820512820514,70.49230769230769,25.55384615384614,5.8000000000000025,881.4316239316241,4.454700854700857,35.384615384615394,739.7444444444441,101.84358974358972,LOW
Matathwada,4.915384615384616,4.394017094017095,7.116239316239318,7.490598290598291,15.461538461538462,137.5188034188034,180.62564102564107,166.37008547008548,179.26495726495733,59.29829059829061,22.07350427350428,7.202564102564101,791.7452991452991,9.313675213675216,30.074358974358965,663.7794871794874,88.57264957264952,LOW
Naga Mani Mizo Tripura,13.864957264957267,36.413675213675205,77.44273504273504,171.34444444444438,289.9905982905983,444.7726495726496,437.6615384615384,411.6213675213675,314.51709401709394,175.45299145299148,46.87008547008548,12.783760683760688,2432.7179487179505,50.270940170940136,538.7769230769229,1608.5649572649568,235.10769230769233,HEAVY
North Interior Karnataka,2.9641025641025642,3.121367521367522,7.1452991452991474,24.064102564102576,47.04188034188037,101.55811965811965,138.20940170940173,118.91965811965811,143.58803418803416,95.56239316239319,28.776923076923087,6.235897435897436,717.188888888889,6.084615384615384,78.25384615384621,502.27777777777777,130.57435897435903,LOW
Orissa,12.15213675213675,19.52478632478632,21.158119658119666,33.72393162393161,64.88888888888886,210.45042735042747,350.5547008547009,354.6282051282052,241.19487179487172,113.82649572649572,27.829059829059833,5.517948717948717,1455.448717948717,31.676068376068383,119.77521367521369,1156.8256410256413,147.174358974359,MODERATE
Punjab,25.23247863247864,26.405982905982903,23.666666666666668,12.555555555555555,14.21196581196581,47.06923076923077,168.1905982905983,157.74615384615385,85.99059829059831,13.616239316239316,4.117948717948718,12.638461538461534,591.436752136752,51.63675213675213,50.42649572649574,459.00085470085463,30.370085470085463,LOW
Rayalseema,9.800000000000008,5.582905982905983,8.054700854700853,19.548717948717943,50.64188034188033,65.49487179487177,96.00512820512823,107.49487179487183,131.90769230769232,135.02478632478633,101.22991452991451,34.202564102564104,764.9880341880342,15.380341880341888,78.24273504273508,400.90427350427353,270.45726495726484,LOW
Saurashtra & Kutch,1.1205128205128208,1.588034188034188,1.2769230769230764,1.1632478632478631,4.593162393162394,74.06666666666665,195.72820512820508,119.89829059829057,74.99572649572653,14.856410256410255,5.992307692307694,1.1008547008547007,496.3982905982903,2.705982905982905,7.0307692307692315,464.69572649572643,21.952136752136752,SCANTY
South Interior Karnataka,2.952136752136752,4.095726495726496,9.494017094017096,41.92478632478632,92.5162393162393,141.39145299145295,230.15982905982915,173.54529914529908,137.64273504273504,138.47606837606835,53.69658119658122,11.651282051282056,1037.5555555555557,7.043589743589743,143.92991452991453,682.747863247863,203.82478632478634,MODERATE
Sub Himalayan West Bengal & Sikkim,14.045299145299145,22.686324786324786,43.96666666666669,110.91111111111113,268.4786324786325,536.9897435897434,645.7008547008548,520.3042735042734,421.6982905982906,143.94358974358968,15.846153846153845,5.967521367521368,2750.5529914529907,36.73504273504272,423.3641025641025,2124.6957264957264,165.76324786324787,HEAVY
Tamil Nadu,23.752136752136764,13.209401709401703,19.471794871794874,44.42820512820516,70.22991452991454,52.11452991452991,71.19658119658116,96.08205128205127,111.52136752136751,181.95641025641024,175.3777777777777,81.1461538461539,940.4700854700853,36.95897435897435,134.12307692307695,330.90598290598297,438.4777777777777,LOW
Telangana,7.581196581196584,9.524786324786325,12.571794871794875,17.938461538461535,25.602564102564113,143.082905982906,246.50769230769228,214.27094017094015,176.36324786324784,74.53931623931624,19.924786324786336,5.057264957264958,952.9709401709404,17.111111111111114,56.11196581196582,780.2239316239315,99.52222222222223,LOW
Uttarakhand,53.23675213675214,62.73333333333333,57.064957264957286,35.1008547008547,56.165811965812,162.76410256410261,392.3042735042737,381.1128205128203,195.5205128205128,38.538461538461554,8.04957264957265,21.845299145299133,1464.4418803418807,115.97094017094012,148.32991452991448,1131.7008547008547,68.44188034188038,MODERATE
Vidarbha,10.390598290598293,11.822222222222225,11.893162393162385,9.317948717948713,11.52222222222223,173.28888888888895,330.14273504273496,284.1393162393163,175.53675213675214,52.389743589743574,15.311111111111115,7.792307692307694,1093.5435897435902,22.21111111111111,32.72478632478632,963.1051282051284,75.49743589743588,MODERATE
West Madhya Pradesh,9.167521367521369,6.217241379310346,5.1179487179487175,2.3367521367521356,7.670940170940167,111.84615384615388,304.00598290598293,288.0427350427351,160.56923076923067,28.069230769230753,12.133333333333331,6.205982905982905,944.1715517241372,15.470689655172407,15.135897435897437,864.4666666666666,46.40940170940169,LOW
West Rajasthan,3.3230769230769233,4.862393162393162,4.011111111111111,3.5418803418803413,9.539316239316237,29.131623931623928,96.10598290598293,94.9478632478633,39.92820512820512,5.194871794871795,1.6435897435897424,1.8854700854700854,294.1256410256411,8.182905982905982,17.09743589743589,260.11452991452995,8.72735042735043,SCANTY
West Uttar Pradesh,17.57008547008546,17.61452991452991,11.427350427350433,6.1623931623931645,12.452991452991451,77.5111111111111,246.86581196581182,249.67606837606843,145.3393162393163,28.372649572649568,3.8982905982905973,7.00683760683761,823.8991452991452,35.17863247863248,30.047863247863248,719.3965811965811,39.27777777777779,LOW
